AWND,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,DYFG,DYHF,DYTS,EMNT,EMSD,EMSN,EMXP,EMXT,EVAP,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HN01,HN02,HTDD,HX01,HX02,LN01,LN02,LX01,LX02,MN01,MN02,MX01,MX02,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WDFG,WDMV,WSF2,WSF5,WSFG,county,date,year
,570.5,570.5,101.5,67.5,9,,9.5,8,125,37,175,12,18.5,,44,-21.1,,152.5,93.2,35,,-1.1,-4.4,-4.4,-6.7,-11.7,-0.6,-2.2,-5.6,-6.7,-14.4,2705,,,2705,,,,,,,,,,,1011.95,667,11.38,17.01,5.74,,,,,,,,Greene County,2000-01-01T00:00:00,2000
,410.1,410.1,131,71,10,,,14,135,53,160,10,9.5,,10,-26.7,,,94.5,35.6,,-0.6,-2.8,-4.4,-8.3,-8.9,0,-2.2,-7.8,-7.8,-9.4,3168.65,,,3168.65,,,,,,,,,,,1043.3,,9.73,15.49,3.96,,,,,,,,Grundy County,2000-01-01T00:00:00,2000
,671.8,671.8,122,73,9,23,6,6,125,25,194,26,29,,50,-20.6,152,152,106.7,36.7,,-1.1,-2.2,-5.6,-10.6,-10.6,-0.6,-4.4,-4.4,-7.2,-12.2,2384.8,,,2384.8,,,,,,,,,,,1099.2,502,12.46,19.14,5.77,,,,,,,,Hamilton County,2000-01-01T00:00:00,2000
,610.975,610.975,101.5,72.83333333,6.333333333,43.33333333,11,14.5,121.75,39.5,171.5,23.5,9.75,,31.4,-23.175,347,127.1666667,52.4,37.35,,-3.625,-3.875,-5.275,-7.1,-10.975,-1.525,-2.625,-5.125,-7.925,-10.7,2794.975,,,2794.975,,,,,,,,,,,865.2833333,713,11.1725,16.8275,5.5125,,,,,,,,Hancock County,2000-01-01T00:00:00,2000
,665.4,665.4,101,79,15,,2,2,110,23,203,26,,,3,-18.9,,51,66,37.2,,-1.7,-3.9,-6.1,-10.6,-10.6,-0.6,-2.2,-5,-11.1,-11.1,,,,,,,,,,,,,,,1107.4,89,13.19,19.69,6.7,,,,,,,,Hardin County,2000-01-01T00:00:00,2000
,538.9,538.9,108,68,5,,6,16,128,49,164,12,6,,,-26.1,,102,46.7,36.7,,-1.1,-4.4,-4.4,-7.2,-11.1,-0.6,-3.9,-6.1,-7.8,-8.9,2887.9,,,2887.9,,,,,,,,,,,843.6,446,10.64,15.96,5.31,,,,,,,,Henderson County,2000-01-01T00:00:00,2000
,466,466,98.25,66.25,9.25,51,10,18,131,53.66666667,162.6666667,7,9.25,,6.333333333,-26.3,330,228.5,50.225,35.4,,-2.2,-2.2,-6.5,-6.866666667,-11.46666667,-0.766666667,-2.966666667,-5,-8.133333333,-9.266666667,3160.233333,,,3160.233333,,,,,,,,,,,899.225,1086.25,9.943333333,15.59666667,4.296666667,,,,,,,,Henry County,2000-01-01T00:00:00,2000
,440.5,440.5,122,68.33333333,7,44,9,16,135,45,167,10,35.33333333,,22,-27.2,304.5,166,59.33333333,35,,-1.7,-3.9,-4.4,-7.2,-10.6,-2.2,-2.2,-4.4,-7.8,-8.9,3137.6,26.1,,3137.6,35,,-3.9,,-2.2,,9.8,,14.5,,858.5666667,793.3333333,9.96,16.01,3.91,,,,,,,,Iroquois County,2000-01-01T00:00:00,2000
3.3,709.15,709.15,111.25,69.25,11.5,23.5,5.333333333,1.5,106.5,26.5,189.5,23.5,48,,39,-18.35,139.5,90,129.625,36.95,,-1.4,-3.05,-4.7,-7.5,-9.75,-1.15,-4.2,-6.4,-6.95,-10.85,2247.85,,,2247.85,,,,,,,,,,,1168.575,289.6666667,12.985,18.84,7.13,200,340,,,17,26.8,,Jackson County,2000-01-01T00:00:00,2000
,530.6,530.6,101,71,12,36,8.666666667,7,115.5,40.5,169.5,11,29,,41,-22.25,254,221,88.56666667,34.7,,-1.15,-3.6,-5.85,-7.5,-9.75,-0.85,-2.5,-11.65,-11.65,-11.65,2623.05,,,2623.05,,,,,,,,,,,1215.166667,774.6666667,11.475,16.87,6.08,,,,,,,,Jasper County,2000-01-01T00:00:00,2000
,603.3,603.3,127,72,9,22,6,9,118,32,172,10,9,,33,-22.8,178,152,95.8,34.4,,-0.6,-3.3,-6.1,-9.4,-9.4,-0.6,-2.8,-11.7,-11.7,-11.7,2514.5,,,2514.5,,,,,,,,,,,1109.3,457,11.93,17.4,6.45,,,,,,,,Jefferson County,2000-01-01T00:00:00,2000
,622.8,622.8,104,72,10,,6,8,122,33,175,20,13,,21,-20,,127,71.1,35.6,,-5,-5,-5,-6.7,-11.7,-0.6,-2.2,-8.3,-8.3,-10,2590.3,,,2590.3,,,,,,,,,,,1033.3,414,11.77,17.61,5.93,,,,,,,,Jersey County,2000-01-01T00:00:00,2000
,356.65,356.65,111,74.75,10.25,65.66666667,18.5,20.5,140,60,154,7,31,,21,-30,508,204.5,55.875,34.75,,-1.4,-3.35,-5,-7.5,-10.85,-0.3,-3.9,-5.55,-6.95,-10.85,3322.8,,,3322.8,,,,,,,,,,,936.725,1549.25,8.86,14.735,2.985,,,,,,,,Jo Daviess County,2000-01-01T00:00:00,2000
4.1,363.0666667,363.0666667,117.3333333,68,10,49,15,19.66666667,136.3333333,55,153,5,6,,20.5,-25.56666667,546,207.3333333,48.16666667,34.23333333,,-2.033333333,-2.4,-4.8,-7.4,-10.36666667,-0.366666667,-4.233333333,-5.9,-7.766666667,-9.8,3316.766667,,,3316.766667,,,,,,,,,,,887.1666667,1435,9.213333333,15.24,3.19,240,240,,,46.5,46.5,,Kane County,2000-01-01T00:00:00,2000
,,,116.2,70.8,7.4,51.5,10.6,,,43,172,12,14.8,,15.6,,343,196.2,78.42,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,916.22,1016.2,,16.55,,,,,,,,,Kankakee County,2000-01-01T00:00:00,2000
,,,107,73,12,61,14,,,,,,,,,,406,203,91.4,,,,,,,,,,,,,,,,,,,,,,,,,,,1068,1092,,,,,,,,,,,Kendall County,2000-01-01T00:00:00,2000
,517.1,517.1,102.8,70.6,7.8,48,11.2,15,129,56,162,6,17,,30.66666667,-23.3,508,130.4,63.04,36.1,,-3.3,-3.3,-6.7,-6.7,-13.3,-6.7,-6.7,-6.7,-6.7,-8.9,3025.4,,,3025.4,,,,,,,,,,,875.74,845.2,10.28,15.46,5.11,,,,,,,,Knox County,2000-01-01T00:00:00,2000
4,349.84,349.84,136.1428571,75.28571429,10.85714286,70.66666667,18.83333333,13.2,124,58.2,133.2,2.8,34.83333333,,25.6,-23.22,461.5,256.5,74.72857143,33.44,,-1.14,-2.66,-5.82,-8.46,-10.8,-1.12,-2.54,-4.96,-7.22,-9.66,3266.433333,,,3266.433333,,,,,,,,,,,1086.628571,1621.833333,9.236,14.228,4.244,210,300,,,16.1,21,,Lake County,2000-01-01T00:00:00,2000
,433.4,433.4,126,71,7.8,50.5,11.5,18.5,130,52,164.6666667,6,18.5,,20.83333333,-25.825,387.5,201.25,50.42,35.93333333,,-2.2,-3.45,-4.85,-7.65,-11.275,-0.975,-2.925,-4.7,-7.375,-9.575,3170.666667,23.9,,3170.666667,24.4,26.7,-2.2,,-2.2,-1.1,9.4,,10.8,12.4,903.12,996.5,9.82,15.63,4.085,,,,,,,,La Salle County,2000-01-01T00:00:00,2000
,,,95,65.5,14,30,10,,,,,,,,,,203,152,65.4,,,,,,,,,,,,,,,,,,,,,,,,,,,1171.25,644,,,,,,,,,,,Lawrence County,2000-01-01T00:00:00,2000
,305.5666667,305.5666667,112.75,70.5,9.25,67.66666667,16.5,22.33333333,138.6666667,61.66666667,150.3333333,4,30,,29.66666667,-27.76666667,482.6666667,204.25,92.725,33.86666667,,-3.533333333,-3.533333333,-6.133333333,-7.066666667,-10.73333333,-0.2,-3.733333333,-5.2,-7.6,-9.833333333,3498.133333,,,3498.133333,,,,,,,,,,,1000.2,1426.75,8.59,14.36,2.82,,,,,,,,Lee County,2000-01-01T00:00:00,2000
,445.3,445.3,100.8,68.2,7.2,46,11.75,18.5,132.5,47.5,168,9.5,22,,7.25,-24.15,406,203.25,50.34,36.95,,-2.2,-2.2,-5.3,-8.05,-10.3,-0.85,-2.8,-4.4,-8.3,-9.15,3133.333333,,,3133.333333,,,,,,,,,,,821.56,1051,9.965,16.02,3.91,,,,,,,,Livingston County,2000-01-01T00:00:00,2000
,504.9,504.9,111.5,66.5,7.5,35.5,9.5,16,131,41,179,15,45,,26.5,-23.9,203,130.5,76.2,35.6,,-1.7,-2.2,-4.4,-8.3,-11.1,0,-2.2,-4.4,-7.2,-10.6,2927.6,25,,2927.6,30.6,,-1.1,,-1.1,,11.4,,14.6,,913.9,764,10.83,16.97,4.69,,,,,,,,Logan County,2000-01-01T00:00:00,2000
,,,110,69,8,,,,,,,,2,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,845.9,,,,,,,,,,,,McDonough County,2000-01-01T00:00:00,2000
,,,130,82,11,64.33333333,19.66666667,,,,,,50.66666667,,24,,440.3333333,150,107.2,,,,,,,,,,,,,3538.9,,,3538.9,,,,,,,,,,,1069.6,1285,,,,,,,,,,,McHenry County,2000-01-01T00:00:00,2000
,526.8,526.8,94,68.8,8.8,51,9.5,13.66666667,124.6666667,43.33333333,175.6666667,20,15.5,,21.5,-23.16666667,356,165.25,51.76,35.76666667,,-1.666666667,-2.4,-6.133333333,-7.6,-11.5,-0.933333333,-2.766666667,-5.366666667,-7.233333333,-10.53333333,2809,,,2809,,,,,,,,,,,883.06,741,10.88,16.85666667,4.903333333,,,,,,,,McLean County,2000-01-01T00:00:00,2000
,706.8,706.8,,,,,,6,109,35,178,15,67,,49,-20.6,,,,37.8,,-0.6,-2.2,-4.4,-10.6,-10.6,0,-2.8,-5,-9.4,-9.4,2378.8,,,2378.8,,,,,,,,,,,,,12.49,17.81,7.16,,,,,,,,Macon County,2000-01-01T00:00:00,2000
,699,699,79.5,56,11.5,29,8,3,108,34,187,11,,,26,-20,203.5,165,73.7,35.6,,-1.1,-3.9,-5.6,-11.1,-11.1,-0.6,-2.2,-7.2,-7.2,-11.7,,,,,,,,,,,,,,,1022.1,653.5,12.51,17.77,7.25,,,,,,,,Macoupin County,2000-01-01T00:00:00,2000
,,,109.5,82.5,14.5,23.5,5.5,,,,,,1,,42,,203.5,188,86.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1342.55,525,,,,,,,,,,,Madison County,2000-01-01T00:00:00,2000
,654.4,654.4,107,75,12,28,6,6.5,115.5,36,179,18.5,36,,50,-20.55,228.5,235.25,79.875,36.15,,-1.95,-3.05,-6.1,-7.5,-9.75,-0.85,-6.65,-9.15,-9.15,-10.55,2457.55,26.1,,2457.55,35,,-3.3,,-1.1,,11.7,,17.3,,1224.025,622.25,12.22,17.845,6.595,,,,,,,,Marion County,2000-01-01T00:00:00,2000
,618.7,618.7,116.5,74,4.5,49,12,15,119,40,183,14,23.5,,30.5,-26.7,419.5,151.5,46.85,36.7,,-2.2,-2.2,-4.4,-7.2,-11.7,-1.7,-3.3,-4.4,-6.7,-9.4,,,,,,,,,,,,,,,874.6,1024,11.57,17.39,5.75,,,,,,,,Marshall County,2000-01-01T00:00:00,2000
,521.7,521.7,96,66.5,7.5,40,12,23,142,39,174,21,74.5,,37.5,-24.4,305,139.5,65,36.7,,0,-3.3,-4.4,-7.8,-10,-1.1,-2.2,-5,-6.7,-10,2888.7,,,2888.7,,,,,,,,,,,838.55,732,10.46,17.17,3.75,,,,,,,,Mason County,2000-01-01T00:00:00,2000
,908.9,908.9,,,,26,2,0,86,17,201,42,5,,5,-15.6,76,76,,39.4,,-1.1,-4.4,-4.4,-7.8,-10,-1.7,-2.2,-4.4,-9.4,-9.4,1781.8,,,1781.8,,,,,,,,,,,,101,14.95,21.05,8.85,,,,,,,,Massac County,2000-01-01T00:00:00,2000
,,,101.6666667,59.33333333,7.666666667,36.5,6.666666667,11,123,,,,17,,26,-22.2,216,128.6666667,74.23333333,,,-1.7,-2.2,-5.6,-7.8,-11.1,0,-2.8,-5.6,-6.7,-11.7,,,,,,,,,,,,,,,839.6666667,523.6666667,,,5.3,,,,,,,,Menard County,2000-01-01T00:00:00,2000
,488.1,488.1,89.33333333,71,9.333333333,,12,18,129,46,167,14,9,,30,-27.8,,203,78.06666667,36.7,,-1.1,-4.4,-4.4,-7.8,-12.2,0,-2.2,-4.4,-7.8,-12.2,2979.9,,,2979.9,,,,,,,,,,,940.7,1084.5,10.54,16.04,5.05,,,,,,,,Mercer County,2000-01-01T00:00:00,2000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2192.7,,,2192.7,,,,,,,,,,,,,,,,,,,,,,,Monroe County,2000-01-01T00:00:00,2000
