AWND,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,DYFG,DYHF,DYTS,EMNT,EMSD,EMSN,EMXP,EMXT,EVAP,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HN01,HN02,HTDD,HX01,HX02,LN01,LN02,LX01,LX02,MN01,MN02,MX01,MX02,PRCP,SNOW,TAVG,TMAX,TMIN,WDF2,WDF5,WDFG,WDMV,WSF2,WSF5,WSFG,county,date,year
,595.2,595.2,116,73.33333333,9,40,8,8,116.3333333,36.33333333,137.3333333,31,23.75,,8,-22.93333333,508,381,53.76666667,37.8,,0,-2.8,-4.8,-9.833333333,-12.03333333,-1.3,-4.266666667,-5.366666667,-7.066666667,-12.8,3575.966667,,,3575.966667,,,,,,,,,,,982.5333333,775,10.78666667,16.07,5.5,,,,,,,,Livingston County,2011-01-01T00:00:00,2011
,583.6,583.6,120.2,74.6,5.4,33,6,6,117,32,154,27,14.33333333,,14,-22.2,279,262.5,45.72,37.8,,-1.1,-2.2,-5,-7.2,-8.9,-1.7,-2.8,-5.6,-10,-10,3303.2,,,3303.2,,,,,,,,,,,879.14,559.5,11.25,16.92,5.59,,,,,,,,Logan County,2011-01-01T00:00:00,2011
,666.7,666.7,107,58,11.5,,,9,123,36,156,39,,,,-22.2,,,75.05,37.8,,-1.7,-2.8,-6.1,-6.7,-14.4,0,-3.3,-5.6,-8.9,-8.9,3269.2,,,3269.2,,,,,,,,,,,955.65,,11.29,17.07,5.5,,,,,,,,McDonough County,2011-01-01T00:00:00,2011
,397.9,397.9,116.4,71.2,10.8,40,8,8,143,52,117,11,24.4,,15.16666667,-25,508,439,91.34,35.6,,0,-2.8,-5,-6.7,-12.8,0,-2.2,-6.7,-6.7,-9.4,4020.05,,,4020.05,,,,,,,,,,,1103.55,867,8.73,13.69,3.77,,,,,,,,McHenry County,2011-01-01T00:00:00,2011
,593.2333333,593.2333333,109.8888889,69.77777778,9.888888889,26,5,8.666666667,121.6666667,37,146.3333333,33.33333333,15,,10,-22.93333333,317.5,319,50.01111111,37.56666667,,0,-2.766666667,-4.8,-8.7,-12.4,-0.2,-3.333333333,-5.933333333,-8.866666667,-10.2,3540.6,,,3540.6,,,,,,,,,,,937.3555556,540.5,10.77,16.45333333,5.083333333,,,,,,,,McLean County,2011-01-01T00:00:00,2011
4.3,715.4,715.4,117,74.5,5.5,,,3.5,101.5,30.5,155.5,34.5,71.66666667,18,22,-20.25,,,52.6,37.75,,-1.9,-3,-4.95,-8.25,-9.65,-0.8,-3,-4.95,-9.95,-9.95,3036.85,,,3036.85,,,,,,,,,,,855.35,,12.2,17.295,7.1,220,160,,,21.5,34,,Macon County,2011-01-01T00:00:00,2011
,719,719,103.5,67.75,9,,,5,103,30,163,40,2,,12,-21.1,,,69.025,37.8,,-1.7,-3.3,-4.4,-10,-10,0,-3.3,-4.4,-7.2,-15.6,3114.7,,,3114.7,,,,,,,,,,,1050.05,,12.11,17.53,6.68,,,,,,,,Macoupin County,2011-01-01T00:00:00,2011
,,,120,80,12,,,,,,,,,,38,,,,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,1106.8,,,,,,,,,,,,Madison County,2011-01-01T00:00:00,2011
,768.5,768.5,118,84.5,20.25,,,1,94,24.5,167,40.5,8,,24,-17.75,,,75.75,36.95,,-1.95,-3.05,-8.85,-8.85,-9.4,-1.15,-4.45,-4.7,-10.55,-10.55,2898.5,29.4,,2898.5,37.8,,-0.6,,-0.6,,12.6,,18.9,,1480,,12.785,18.05,7.53,,,,,,,,Marion County,2011-01-01T00:00:00,2011
,,,112.5,70.5,16,39,4,,,,,,20.5,,34.5,,406,381,71.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.25,646,,,,,,,,,,,Marshall County,2011-01-01T00:00:00,2011
,,,105,73,16,,,,,,,,1,,3,,,,49.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1071.2,,,,,,,,,,,,Mason County,2011-01-01T00:00:00,2011
,,,,,,,,,,,,,12,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massac County,2011-01-01T00:00:00,2011
,,,114,70,12.5,,,,,,,,7,,,,,,44.95,,,,,,,,,,,,,,,,,,,,,,,,,,,975.4,,,,,,,,,,,,Menard County,2011-01-01T00:00:00,2011
,587.2,587.2,92,74,6,,,10,124.5,46.5,140.5,29,3,,4,-23.05,,,39.4,38.1,,-1.15,-2.2,-5.25,-7.2,-10.85,-1.1,-2.2,-5.3,-7.5,-14.45,3384.7,,,3384.7,,,,,,,,,,,838.2,,10.4,15.795,5.005,,,,,,,,Mercer County,2011-01-01T00:00:00,2011
,,,119,80,9,,,1,85,,,,,,,-19.4,,,54.4,,,-3.3,-3.3,-10,-10,-10,0,-2.8,-5.6,-8.3,-16.1,,,,,,,,,,,,,,,1119.8,,,,7.93,,,,,,,,Montgomery County,2011-01-01T00:00:00,2011
,732.9,732.9,108.5,64.5,11.5,36,7,9,113,28,171,48,8,,26,-22.2,305,305,116.2,39.4,,-1.1,-2.2,-4.4,-10,-10,-0.6,-2.2,-5.6,-9.4,-9.4,3126.2,,,3126.2,,,,,,,,,,,1023.8,678,12.13,18.08,6.18,,,,,,,,Morgan County,2011-01-01T00:00:00,2011
,,,118.5,75,7,,,,,,,,2,,3.333333333,,,,60.05,,,,,,,,,,,,,,,,,,,,,,,,,,,949.6,,,,,,,,,,,,Moultrie County,2011-01-01T00:00:00,2011
,482.1,482.1,123.25,67.75,11.5,,,10,143.5,47,134.5,19.5,98.5,,26.5,-28.35,,,68.15,35.85,,-0.3,-2.2,-6.1,-6.95,-11.1,-2.5,-2.75,-6.95,-7.5,-10.25,3869.2,,,3869.2,,,,,,,,,,,1057.375,,9.49,14.99,3.99,,,,,,,,Ogle County,2011-01-01T00:00:00,2011
3.3,686.8,686.8,118,70.33333333,14.33333333,41,7,6,112,37,154,34,45.75,13,25.33333333,-22.8,356,300,68.5,37.8,,0,-2.8,-4.4,-8.9,-8.9,-1.7,-3.9,-5,-9.4,-9.4,3341.1,,,3341.1,,,,,,,,,,,1086.575,863,11.46,16.56,6.35,230,220,,,20.1,27.7,,Peoria County,2011-01-01T00:00:00,2011
,861.2,861.2,122,86.5,25.5,,,2,99,13,191,65,7,,36.5,-21.7,,,115.55,37.2,,-0.6,-4.4,-4.4,-7.8,,-1.1,-2.2,-5.6,-6.7,-11.1,2657.9,,,2657.9,,,,,,,,,,,1804.8,,13.69,19.93,7.44,,,,,,,,Perry County,2011-01-01T00:00:00,2011
,,,118.5,74,6.5,,,,,,,,24,,27,,,,46.75,,,,,,,,,,,,,,,,,,,,,,,,,,,862.75,,,,,,,,,,,,Piatt County,2011-01-01T00:00:00,2011
,679.4,679.4,,,,,,12,118,28,166,42,6,,9,-23.3,,,,39.4,,-1.1,-3.9,-5,-7.2,-12.2,-2.2,-2.2,-5.6,-8.3,-18.9,3112.5,,,3112.5,,,,,,,,,,,,,11.71,17.94,5.48,,,,,,,,Pike County,2011-01-01T00:00:00,2011
,885.9,885.9,,,,,,0,81,13,187,55,29,,9,-15.6,,,,37.2,,0,-4.4,-4.4,-7.2,,-0.6,-2.2,-4.4,-6.7,-14.4,2384.9,,,2384.9,,,,,,,,,,,,,14.41,19.95,8.87,,,,,,,,Pope County,2011-01-01T00:00:00,2011
,,,111,86,29,,,,,,,,19,,11,,,,83.3,,,,,,,,,,,,,,,,,,,,,,,,,,,1792.7,,,,,,,,,,,,Pulaski County,2011-01-01T00:00:00,2011
,975.3,975.3,107,79.33333333,16,,,0,88,16,187,71,11.33333333,,30,-15,,,79.43333333,38.9,,-2.2,-2.2,-7.8,-7.8,,-0.6,-2.2,-5.6,-11.1,-11.1,2631.7,,,2631.7,,,,,,,,,,,1417.9,,14.28,20.06,8.49,,,,,,,,Randolph County,2011-01-01T00:00:00,2011
,760.6,760.6,139,91,23,17,8,2,92,22,178,41,1,,32,-18.9,152,102,74.9,38.3,,-0.6,-3.9,-5,-8.3,,-0.6,-3.9,-5.6,-10,-10,2922.7,,,2922.7,,,,,,,,,,,1698.9,455,13.03,18.68,7.39,,,,,,,,Richland County,2011-01-01T00:00:00,2011
3.6,602.65,602.65,126.5,62.5,5.5,,7,10,125.5,42.66666667,141,26.66666667,164,11,24,-26.1,,376,39.5,37.6,,-0.85,-3.9,-5,-6.95,-11.7,-0.85,-3.85,-5,-6.7,-18.35,3522.1,,,3522.1,,,,,,,,,,,796.55,781,10.465,15.76,5.27,270,300,,,19.7,26.8,,Rock Island County,2011-01-01T00:00:00,2011
3,933.3,933.3,121.5714286,83.42857143,12.85714286,26,8,0.5,89.5,17.5,193.5,64,111.6666667,17,37,-17.75,127,97,80.18571429,38.6,,-0.8,-3,-6.6,-8.55,-8.9,-0.8,-4.65,-6.35,-8.3,-11.35,2668.2,,,2668.2,,,,,,,,,,,1280.685714,524,14.29,20.14,8.44,90,100,,,20.6,25.9,,St. Clair County,2011-01-01T00:00:00,2011
3.9,782.5,782.5,109.5,62.83333333,6,38,7,5.5,105,28,163.5,44.5,36.16666667,19,23.66666667,-23.3,279,218,37.15,38.35,,-0.3,-2.75,-5,-9.2,-10.6,-0.85,-3.9,-4.4,-8.05,-9.15,3062.35,,,3062.35,,,,,,,,,,,797.3166667,683,12.45,18.06,6.835,320,60,,,17.9,24.1,,Sangamon County,2011-01-01T00:00:00,2011
,637.1,637.1,114,67,10.33333333,33.5,8.5,8,119,37,152,29,4,,36,-22.8,419.5,400,48.1,37.8,,-0.6,-2.2,-5.6,-6.7,-11.7,0,-3.3,-4.4,-6.7,-9.4,,,,,,,,,,,,,,,947.4333333,787,11.12,16.59,5.65,,,,,,,,Schuyler County,2011-01-01T00:00:00,2011
,703.4,703.4,105,67,11.5,,,10.5,116.5,32,161.5,40,8,,19,-22.5,,,77.45,38.6,,0,-2.5,-5,-8.6,-10.55,-0.3,-2.75,-5,-8.65,-9.75,3185.95,,,3185.95,,,,,,,,,,,1064.45,,11.89,17.715,6.06,,,,,,,,Scott County,2011-01-01T00:00:00,2011
,703.4,703.4,118.6,85.2,8.4,,,4.25,102.25,28.25,162.75,41.25,6.666666667,,3.666666667,-21.4,,,68.58,37.375,,-1.4,-2.5,-6.375,-9.025,-9.433333333,-0.15,-2.9,-5.8,-10.125,-10.125,3009.866667,,,3009.866667,,,,,,,,,,,1131.68,,12.2625,17.755,6.77,,,,,,,,Shelby County,2011-01-01T00:00:00,2011
,,,115,66.5,15,38,3.5,,,,,,21,,25.33333333,,406,378.5,62.85,,,,,,,,,,,,,,,,,,,,,,,,,,,1118.1,587,,,,,,,,,,,Stark County,2011-01-01T00:00:00,2011
,475.2,475.2,105.5,62.5,9,,,10,145,50,136,17,7,,4,-27.8,,,105.15,36.7,,0,-2.8,-5.6,-7.2,-12.8,-1.7,-2.2,-5.6,-6.7,-17.2,3985.9,,,3985.9,,,,,,,,,,,1039.1,,9.08,14.62,3.53,,,,,,,,Stephenson County,2011-01-01T00:00:00,2011
,,,123.25,67.5,8.5,41,5,,,,,,47,,48,,356,330,49.775,,,,,,,,,,,,,,,,,,,,,,,,,,,973.475,675,,,,,,,,,,,Tazewell County,2011-01-01T00:00:00,2011
,,,122,87,26,,,,,10,205,67,3,,,,,,114,37.2,,,,,,,,,,,,2125.3,,,2125.3,,,,,,,,,,,1847.6,,,21.4,,,,,,,,,Union County,2011-01-01T00:00:00,2011
,646.45,646.45,128,84.5,10.5,,,2.5,109,33,153,32.5,8,,14.5,-21.95,,,48.7,37.5,,0,-2.5,-5,-11.95,-11.95,-0.55,-2.75,-5.55,-6.7,-10.6,3213.2,,,3213.2,,,,,,,,,,,1083.15,,11.765,17.215,6.32,,,,,,,,Vermilion County,2011-01-01T00:00:00,2011
,,,,,,,,,,,,,32,,40,,,,,,,,,,,,,,,,,2673.1,,,2673.1,,,,,,,,,,,,,,,,,,,,,,,Wabash County,2011-01-01T00:00:00,2011
,554.5,554.5,,,,,,11,133,46,142,27,10,,8,-25.6,,,,36.7,,0,-3.9,-7.2,-7.2,-8.9,-2.2,-2.2,-4.4,-6.7,-9.4,3658.7,,,3658.7,,,,,,,,,,,,,10.06,15.72,4.4,,,,,,,,Warren County,2011-01-01T00:00:00,2011
,857.85,857.85,132.3333333,87.33333333,20.33333333,8.5,3.5,0,89,20,175,51,,,,-16.1,76.5,89,85,37.8,,-1.65,-2.75,-7.75,-7.75,,0,-2.2,-11.1,-11.1,-13.05,2741.15,,,2741.15,,,,,,,,,,,1543.066667,251,13.605,19.055,8.155,,,,,,,,Washington County,2011-01-01T00:00:00,2011
,815.6,815.6,124,90,21,,,1,82,17,174,49,9,,16,-17.8,,,76.2,38.9,,-1.7,-3.9,-5,-8.9,-8.9,-1.1,-3.9,-5.6,-10,-10,2657.8,,,2657.8,,,,,,,,,,,1607.4,,13.6,19.17,8.04,,,,,,,,Wayne County,2011-01-01T00:00:00,2011
,,,,,,,,,,,,,7,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,White County,2011-01-01T00:00:00,2011
,589.7,589.7,109.75,67.75,10.5,50,,9.666666667,131.3333333,44.5,138,22.5,9,,18.5,-28.5,762,,77.8,36.65,,-0.566666667,-3.333333333,-5.566666667,-7.966666667,-11.46666667,-1.666666667,-2.2,-5.2,-7.233333333,-18.7,3671.65,,,3671.65,,,,,,,,,,,984.875,,10.27,15.165,4.733333333,,,,,,,,Whiteside County,2011-01-01T00:00:00,2011
,576.05,576.05,138.5,78.16666667,11.33333333,34,4.5,4.5,113,38.5,134.5,24.5,13.75,,21.5,-23.3,432,189,97.21666667,36.95,,0,-3.9,-4.7,-8.6,-10.85,-0.85,-4.45,-4.7,-8.85,-11.35,3508.95,,,3508.95,,,,,,,,,,,1185.175,483.5,10.58,15.455,5.705,,,,,,,,Will County,2011-01-01T00:00:00,2011
,903.4,903.4,,,,,,1,83,14,191,68,,,,-20,,,,38.3,,0,-3.3,-5,-8.3,,-1.7,-3.9,-5.6,-10.6,-10.6,2382.8,,,2382.8,,,,,,,,,,,,,14.28,20.26,8.3,,,,,,,,Williamson County,2011-01-01T00:00:00,2011
3.8,552.1,552.1,127.5,67.5,9.5,45,7.5,7,127,44,138,27,53.66666667,12,27.66666667,-28.9,483,253,83.8,37.8,,-1.1,-2.2,-4.4,-10.6,-10.6,-1.1,-2.2,-5,-6.7,-9.4,3667,,,3667,,,,,,,,,,,1013.2,804,10.07,15.2,4.93,310,310,,,24.6,30.8,,Winnebago County,2011-01-01T00:00:00,2011
,587.4,587.4,121.25,69,11.75,,,12.5,132.5,37,149.5,33.5,12,,21.33333333,-25.55,,,65.35,38.05,,-1.15,-2.2,-5.55,-7.25,-14.15,-1.1,-3.05,-5,-7.2,-15.8,3541.05,,,3541.05,,,,,,,,,,,1040.525,,10.645,16.5,4.79,,,,,,,,Woodford County,2011-01-01T00:00:00,2011
3.9,856.1,856.1,97,51,6,,,0,102,19,186,60,96,25,47,-13.9,,,59.4,40.6,,-2.8,-2.8,-4.4,-7.8,-9.4,-1.7,-7.8,-7.8,-7.8,-11.1,2410.4,,,2410.4,,,,,,,,,,,654.3,,13.71,19.66,7.76,300,10,,,19.7,29.5,,Adams County,2012-01-01T00:00:00,2012
,1058.55,1058.55,88,51,11,,,0,54,2.5,203,76,2,,1,-9.15,,,58.4,41.95,,-0.55,-3.6,-4.4,-6.7,-9.4,-0.3,-3.05,-7.2,-7.75,-8.9,1740.2,,,1740.2,,,,,,,,,,,890.2,,16.375,22.505,10.235,,,,,,,,Alexander County,2012-01-01T00:00:00,2012
,,,103,65,10,,,,,,,,,,,,,,138.7,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.7,,,,,,,,,,,,Bond County,2012-01-01T00:00:00,2012
,,,102,61,3,42,9,,,,,,2,,5,,203,165,66,,,,,,,,,,,,,,,,,,,,,,,,,,,624,758,,,,,,,,,,,Boone County,2012-01-01T00:00:00,2012
,,,92,53,5,12,3,,,,,,,,,,76,48,102.9,,,,,,,,,,,,,,,,,,,,,,,,,,,687.9,210,,,,,,,,,,,Brown County,2012-01-01T00:00:00,2012
,677.05,677.05,88.5,61,6,17.5,5.5,0,120.5,25,171,46,14.66666667,,15,-16.4,89,89,54.35,38.85,,-0.6,-3.05,-4.4,-6.95,-10,0,-2.2,-5.55,-8.3,-10,2836.5,,,2836.5,,,,,,,,,,,725.75,305,12.1,18.075,6.125,,,,,,,,Bureau County,2012-01-01T00:00:00,2012
,,,89,55,9,,,,,,,,,,,,,,48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,708.4,,,,,,,,,,,,Calhoun County,2012-01-01T00:00:00,2012
,586.4,586.4,89.5,58.5,3.5,,,5,144,23,170,48,8,,17,-20.6,,,65.25,39.4,,-1.7,-3.3,-4.4,-6.7,-9.4,-1.7,-3.3,-4.4,-6.7,-12.8,3087.7,,,3087.7,,,,,,,,,,,638.5,,11.12,18.18,4.06,,,,,,,,Carroll County,2012-01-01T00:00:00,2012
,,,87,51,5,6.5,3.5,,,,,,5.5,,13,,51,55.5,99.55,,,,,,,,,,,,,,,,,,,,,,,,,,,668.55,199,,,,,,,,,,,Cass County,2012-01-01T00:00:00,2012
4.1,689.4,689.4,102.2222222,65.11111111,6.111111111,10,2,0,110.6,15.8,179.2,46.8,86,26,20.5,-15.3,89,88,79.8,38.58,681,-0.5,-2.96,-4.88,-7.44,-9.64,-0.36,-3.48,-5.96,-7.26,-9.72,2569.74,27.8,27.2,2569.74,35.6,32.8,-1.1,-1.1,-1.1,-0.6,10.7,11.6,15.4,14.7,836.35,266.5,12.912,19.11,6.712,280,230,270,,20.6,25.9,26.4,Champaign County,2012-01-01T00:00:00,2012
,822.2,822.2,91.85714286,60,7,,,0,95.5,12,186,64,13.75,,23,-13.6,,,88.71428571,40.3,,-0.3,-3.05,-5.55,-6.7,-9.15,-1.95,-4.45,-6.4,-7.8,-9.15,2219.1,,,2219.1,,,,,,,,,,,828.9285714,,13.905,20.235,7.57,,,,,,,,Christian County,2012-01-01T00:00:00,2012
,,,86.5,64,6.5,,,,,,,,1,,5,,,,48.25,,,,,,,,,,,,,,,,,,,,,,,,,,,785.35,,,,,,,,,,,,Clark County,2012-01-01T00:00:00,2012
,924.2,924.2,89,75,8,,,0,82,8,195,73,1,,5,-12.8,,,109.7,41.7,,-1.7,-2.2,-5.6,-7.8,-11.1,0,-3.3,-4.4,-7.8,-10,2159.6,,,2159.6,,,,,,,,,,,1044.5,,14.65,21.04,8.24,,,,,,,,Clay County,2012-01-01T00:00:00,2012
,947.4,947.4,91,60,16,,,0,85,11,183,59,2,,,-11.7,,,82.6,40.6,,0,-2.2,-5,-6.7,-10,0,-3.9,-5,-8.3,-8.9,2176.3,,,2176.3,,,,,,,,,,,1076.2,,14.53,20.19,8.88,,,,,,,,Clinton County,2012-01-01T00:00:00,2012
3.8,829.55,829.55,108.3333333,64.33333333,9.666666667,8.5,4,0,94.5,13.5,186.5,58.5,80.5,24,20.66666667,-12.75,101.5,59.5,56.53333333,40.85,,-1.05,-3.3,-5.25,-8,-10.5,-1.1,-2.45,-8.3,-8.3,-9.65,2270.1,,,2270.1,,,,,,,,,,,898.2666667,205,14.065,19.99,8.145,350,360,,,21.9,28.2,,Coles County,2012-01-01T00:00:00,2012
3.966666667,706.5875,706.5875,111,64.42105263,4.631578947,13,4,0.125,100.375,16.75,150.375,38.625,52.125,12,32,-15.3875,161,159.5,59.44210526,39.525,,-0.475,-3.2875,-4.9625,-7.75,-9.585714286,-0.625,-4,-6.5,-7.5375,-9.8125,2767.7375,28.9,26.1,2767.7375,35,27.2,-1.7,0,0,1.1,10.8,12.7,16.3,13.8,733.25,491,12.32875,17.34375,7.30875,246.6666667,303.3333333,,,19.06666667,27.43333333,,Cook County,2012-01-01T00:00:00,2012
,854.7,854.7,100,62,7,,,0,97.5,12,194,66.5,11.75,,20,-15.6,,,42.65,41.15,,-1.1,-2.2,-5.55,-7.5,-15.6,-1.4,-2.2,-7.5,-7.5,-10.6,2245.15,,,2245.15,,,,,,,,,,,797.85,,14.155,20.515,7.79,,,,,,,,Crawford County,2012-01-01T00:00:00,2012
,,,97,61.5,7.5,,,,,,,,1,,6,,,,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,831.5,,,,,,,,,,,,Cumberland County,2012-01-01T00:00:00,2012
,539.7,539.7,95,59.16666667,3.5,,,0.5,131,32.5,149.5,29.5,12.66666667,,16.5,-17.75,,,36.8,37.7,,-1.9,-2.55,-4.9,-8.5,-11,-2.25,-2.25,-7.95,-7.95,-9.9,3164.55,,,3164.55,,,,,,,,,,,583.3333333,,10.845,16.685,5.01,,,,,,,,DeKalb County,2012-01-01T00:00:00,2012
,,,96,55,7,,,,,,,,5,,13,,,,76.2,,,,,,,,,,,,,,,,,,,,,,,,,,,890,,,,,,,,,,,,De Witt County,2012-01-01T00:00:00,2012
,735.9,735.9,104,64,5,9,5,0,112,17,180,51,11,,27,-13.9,51,56,31,38.9,,-0.6,-2.2,-6.1,-7.2,-9.4,-1.1,-2.8,-8.9,-8.9,-8.9,2538.9,,,2538.9,,,,,,,,,,,715.1,195,13.07,19.04,7.1,,,,,,,,Douglas County,2012-01-01T00:00:00,2012
4.1,620.4666667,620.4666667,109,65,3.75,13.66666667,4.666666667,0.333333333,119,19.33333333,153.3333333,44,63.8,17.5,32.5,-16.63333333,152.3333333,146.3333333,58,38.7,,0,-3.466666667,-5.166666667,-8.866666667,-10.36666667,-1.633333333,-2.566666667,-7.2,-7.933333333,-9.6,2903.533333,,,2903.533333,,,,,,,,,,,702.1571429,479,11.71666667,17.58,5.846666667,260,265,,,22.1,32.4,,DuPage County,2012-01-01T00:00:00,2012
,698.7,698.7,92.5,63,7.5,,,0,115,18,175,49,11,,3,-13.3,,,38.1,40.6,,-1.7,-2.8,-5,-6.7,-10,-1.7,-2.2,-7.2,-7.2,-10.6,,,,,,,,,,,,,,,774.85,,12.74,19.01,6.47,,,,,,,,Edgar County,2012-01-01T00:00:00,2012
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2077.7,,,2077.7,,,,,,,,,,,,,,,,,,,,,,,Edwards County,2012-01-01T00:00:00,2012
,805.1,805.1,98.8,64,10.4,7,4,0,103,13,185,62,2.5,,10.5,-14.4,76,64,62.04,42.2,,-1.1,-4.4,-4.4,-7.8,-8.9,-1.1,-2.8,-7.2,-7.2,-8.9,2391.8,,,2391.8,,,,,,,,,,,920.58,246,13.66,20.17,7.16,,,,,,,,Effingham County,2012-01-01T00:00:00,2012
,791.7,791.7,84,60,9,9,4,0,111,16,180,60,41,,29,-15,76,64,103.1,41.1,,-1.7,-2.2,-4.4,-6.7,-8.9,-1.7,-2.2,-5.6,-8.9,-8.9,2323.2,,,2323.2,,,,,,,,,,,999.3,244,13.53,19.96,7.11,,,,,,,,Fayette County,2012-01-01T00:00:00,2012
,636.85,636.85,96.5,63,6.5,,,0.5,133.5,17.5,182.5,55,,,,-18.3,,,51.8,40,,-0.55,-2.75,-5,-8.05,-9.4,-0.55,-2.75,-5.85,-6.95,-10.3,,,,,,,,,,,,,,,815.6,,12.17,19.085,5.255,,,,,,,,Ford County,2012-01-01T00:00:00,2012
,,,,,,,,,,,,,2,,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Franklin County,2012-01-01T00:00:00,2012
,613.4,613.4,78,52.25,6,,,0,126,22,178,46,3.666666667,,11,-16.7,,,54.275,38.9,,-0.6,-3.3,-5,-6.7,-8.9,-1.1,-3.3,-12.2,-12.2,-12.2,2810.4,,,2810.4,,,,,,,,,,,673.95,,11.99,18.56,5.41,,,,,,,,Fulton County,2012-01-01T00:00:00,2012
,723.9,723.9,114,62,8,,,0,111,18,188,47,13,,17,-15,,,73.2,39.4,,-0.6,-3.3,-6.1,-7.2,-10.6,-1.1,-5.6,-5.6,-10.6,-10.6,2494.4,,,2494.4,,,,,,,,,,,875.9,,13.23,19.39,7.08,,,,,,,,Greene County,2012-01-01T00:00:00,2012
,714.7,714.7,99.75,57,4.5,8,2,0,111,18,168.5,44.5,17.5,,7.5,-15,152,142,54.85,38.85,,-0.55,-2.2,-5.8,-8.3,-9.15,0,-2.2,-5,-7.5,-11.15,2691.05,,,2691.05,,,,,,,,,,,673.95,313,12.505,18.2,6.815,,,,,,,,Grundy County,2012-01-01T00:00:00,2012
,763,763,91.5,59.5,5,20,5,0,107,20.25,183.25,46,11.5,,20.5,-14.575,139.5,139.5,56.85,40.425,,-0.85,-3.325,-6.225,-8.6,-9.7,-1,-5.4,-8.025,-8.025,-10.425,2559.933333,,,2559.933333,,,,,,,,,,,727.75,373.5,13.115,19.11,7.12,,,,,,,,Hancock County,2012-01-01T00:00:00,2012
,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hardin County,2012-01-01T00:00:00,2012
,699.9,699.9,95,56,7,,,0,100,23,176,44,,,,-15.6,,,61.7,39.4,,0,-3.3,-4.4,-6.7,-9.4,-1.1,-8.9,-8.9,-8.9,-8.9,2665.2,,,2665.2,,,,,,,,,,,742.35,,12.65,18.48,6.82,,,,,,,,Henderson County,2012-01-01T00:00:00,2012
,628.4333333,628.4333333,93,57.5,5,24,5,1,125.6666667,28.33333333,170,38.66666667,6,,12,-18.33333333,127,127,59.925,38.9,,-0.566666667,-2.966666667,-5,-8.3,-9.8,-1.3,-2.966666667,-9.1,-9.1,-9.466666667,2936.5,,,2936.5,,,,,,,,,,,728.6,450,11.67666667,17.84333333,5.506666667,,,,,,,,Henry County,2012-01-01T00:00:00,2012
,535,535,109.3333333,60,5.666666667,,,1,135,22,168,31,20,,28,-18.3,,,76.36666667,37.8,,0,-2.2,-5.6,-6.7,-9.4,-1.1,-2.8,-4.4,-6.7,-9.4,2897.9,25.6,26.1,2897.9,33.3,31.1,-5.6,-2.2,-2.2,-2.2,9.2,10.1,14.1,13.1,745.9333333,,11.59,18.09,5.1,,,,,,,,Iroquois County,2012-01-01T00:00:00,2012
3.1,925.1,925.1,98,58,6.5,0,,0,95,4,203.5,78,100.5,31,22.66666667,-13.8,0,,93.85,41.95,,-0.3,-3.8,-4.95,-7.45,-13,-0.55,-3.55,-4.95,-8,-10,2022.05,,,2022.05,,,,,,,,,,,817.8,,14.985,21.885,8.09,,,,,,,,Jackson County,2012-01-01T00:00:00,2012
,890.2,890.2,102.5,66,7,,,0,94.5,7.5,193.5,65.5,5,,25.5,-13.6,,,59.2,42.25,,-1.4,-2.2,-4.4,-6.7,-10,-1.1,-2.2,-7.2,-7.2,-8.9,2200.1,,,2200.1,,,,,,,,,,,843.25,,14.4,20.705,8.085,,,,,,,,Jasper County,2012-01-01T00:00:00,2012
,,,97,54,13,,,,,,,,10.5,,25,,,,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,985.9,,,,,,,,,,,,Jefferson County,2012-01-01T00:00:00,2012
,,,89,57,10,4,3,,,,,,10,,2,,25,25,69.9,,,,,,,,,,,,,,,,,,,,,,,,,,,814.4,75,,,,,,,,,,,Jersey County,2012-01-01T00:00:00,2012
,534.9,534.9,87,50.5,3.833333333,40.66666667,8.666666667,5,137.25,36,157.25,35.25,16.75,,5,-20.275,220,169.3333333,40.31666667,38.45,,-0.7,-3.325,-4.55,-7.375,-12.1,-0.85,-2.775,-5.4,-8.45,-11.1,3158.3,,,3158.3,,,,,,,,,,,607.05,804.3333333,10.5875,16.74,4.4325,,,,,,,25.9,Jo Daviess County,2012-01-01T00:00:00,2012
