County,Year,NDWI
LOGAN,2002,-0.01387267
LEE,2002,0.018513713
FAYETTE,2002,0.001138485
LA SALLE,2002,0.018743057
PEORIA,2002,0.016528932
RICHLAND,2002,-0.005580006
WILLIAMSON,2002,0.006366589
IROQUOIS,2002,-0.011436186
KANE,2002,0.023862528
SHELBY,2002,-0.014140738
MONROE,2002,0.009567221
CARROLL,2002,0.026729841
CLAY,2002,-0.005899891
MASSAC,2002,0.004949107
JOHNSON,2002,0.011122716
BROWN,2002,0.008795858
KANKAKEE,2002,0.010912772
SANGAMON,2002,-0.00672507
BOONE,2002,0.029538874
MORGAN,2002,-0.006383931
EDWARDS,2002,-0.002806707
WABASH,2002,-0.001608353
WAYNE,2002,-0.005351313
FULTON,2002,0.008723857
WASHINGTON,2002,0.006908514
MOULTRIE,2002,-0.023922381
TAZEWELL,2002,0.00133278
WARREN,2002,0.001821725
PULASKI,2002,0.009537328
MADISON,2002,0.004277416
MONTGOMERY,2002,-0.005606256
MENARD,2002,-0.007886934
HANCOCK,2002,-0.001436157
MCLEAN,2002,-0.002917373
UNION,2003,0.020329289
MCDONOUGH,2003,0.0051011
WINNEBAGO,2003,0.006730252
MARSHALL,2003,0.003634175
JERSEY,2003,0.011796111
BUREAU,2003,0.005439014
PUTNAM,2003,0.008128349
MASON,2003,0.005512702
OGLE,2003,0.000714216
DU PAGE,2003,0.015105157
LAKE,2003,0.002965671
CASS,2003,0.010541846
LAWRENCE,2003,0.008041882
CHAMPAIGN,2003,-0.008534607
FORD,2003,-0.008196085
SCOTT,2003,0.01296406
ALEXANDER,2003,0.023044096
CLARK,2003,0.016275645
ROCK ISLAND,2003,0.009247704
HARDIN,2003,0.01854388
CALHOUN,2003,0.025260316
JACKSON,2003,0.015672074
BOND,2003,0.00914109
CRAWFORD,2003,0.014103456
FRANKLIN,2003,0.00475625
PIATT,2003,-0.008310197
ST CLAIR,2003,0.010452489
HAMILTON,2003,0.000990951
CUMBERLAND,2003,0.002882588
ADAMS,2003,0.012149178
DE WITT,2003,-0.001289718
JO DAVIESS,2003,0.013374823
VERMILION,2003,0.007637931
EFFINGHAM,2003,0.009607567
COOK,2003,0.009523476
PIKE,2003,0.014177667
MARION,2003,0.008165308
KNOX,2003,0.002746264
MCHENRY,2003,0.010164222
HENDERSON,2003,0.009021762
HENRY,2003,0.002045433
GREENE,2003,0.006330628
SALINE,2003,0.008000616
WHITESIDE,2003,0.004123415
DE KALB,2003,0.004736217
WHITE,2003,0.005764716
LIVINGSTON,2003,-0.012609202
WOODFORD,2003,0.008199232
MERCER,2003,0.006473876
MACON,2003,0.002996145
KENDALL,2003,0.006450437
CLINTON,2003,0.015789787
GRUNDY,2003,-0.000413671
PERRY,2003,0.004422735
JASPER,2003,0.005616633
EDGAR,2003,0.002476522
COLES,2003,0.000420228
GALLATIN,2003,0.01154904
DOUGLAS,2003,-0.007531512
RANDOLPH,2003,0.010597359
CHRISTIAN,2003,0.009862896
WILL,2003,0.003907142
MACOUPIN,2003,0.004097622
JEFFERSON,2003,0.004280115
POPE,2003,0.018631404
STARK,2003,-0.004449675
SCHUYLER,2003,0.015011474
STEPHENSON,2003,0.01048925
LOGAN,2003,0.001937775
LEE,2003,0.002156909
FAYETTE,2003,0.011801184
LA SALLE,2003,0.000356509
PEORIA,2003,0.003582857
RICHLAND,2003,0.012185246
WILLIAMSON,2003,0.013072661
IROQUOIS,2003,-0.00291181
KANE,2003,0.012463954
SHELBY,2003,0.005910744
MONROE,2003,0.015751454
CARROLL,2003,0.014328655
CLAY,2003,0.006325918
MASSAC,2003,0.017138013
JOHNSON,2003,0.018231055
BROWN,2003,0.018043138
KANKAKEE,2003,0.001073625
SANGAMON,2003,0.010305175
BOONE,2003,0.008709195
MORGAN,2003,0.006280756
EDWARDS,2003,0.004706904
WABASH,2003,0.007608394
WAYNE,2003,0.000608823
FULTON,2003,0.004295098
WASHINGTON,2003,0.00984303
MOULTRIE,2003,-0.005294094
TAZEWELL,2003,0.003020686
WARREN,2003,0.012284609
PULASKI,2003,0.016806891
MADISON,2003,0.011786549
MONTGOMERY,2003,0.004775046
MENARD,2003,0.008669549
HANCOCK,2003,0.006899404
MCLEAN,2003,-0.006125764
UNION,2004,0.021152145
MCDONOUGH,2004,0.012627757
WINNEBAGO,2004,0.023024119
MARSHALL,2004,0.012685295
JERSEY,2004,0.00494828
BUREAU,2004,0.017550136
PUTNAM,2004,0.018126865
MASON,2004,-0.003147579
OGLE,2004,0.024957121
DU PAGE,2004,0.020486555
LAKE,2004,0.007012641
CASS,2004,0.001341968
LAWRENCE,2004,0.013219876
CHAMPAIGN,2004,0.002011533
FORD,2004,0.006815585
SCOTT,2004,-0.004982123
ALEXANDER,2004,0.021813011
CLARK,2004,0.006737268
ROCK ISLAND,2004,0.02282225
HARDIN,2004,0.018839797
CALHOUN,2004,0.023615959
JACKSON,2004,0.019289416
BOND,2004,0.003582937
CRAWFORD,2004,0.009457644
FRANKLIN,2004,0.013379557
PIATT,2004,-0.005516536
ST CLAIR,2004,0.00590115
HAMILTON,2004,0.006044378
CUMBERLAND,2004,0.000176601
ADAMS,2004,0.013811644
DE WITT,2004,0.00510893
JO DAVIESS,2004,0.02473298
VERMILION,2004,0.008782991
EFFINGHAM,2004,0.005792891
COOK,2004,0.014444974
PIKE,2004,0.01074023
MARION,2004,0.008438293
KNOX,2004,0.011391183
MCHENRY,2004,0.026176973
HENDERSON,2004,0.018538906
HENRY,2004,0.017346351
GREENE,2004,-0.001832448
SALINE,2004,0.012202534
WHITESIDE,2004,0.022544114
DE KALB,2004,0.025807004
WHITE,2004,0.010071958
LIVINGSTON,2004,0.003077172
WOODFORD,2004,0.010658327
MERCER,2004,0.018289631
MACON,2004,0.003348114
KENDALL,2004,0.021598638
CLINTON,2004,0.008101581
GRUNDY,2004,0.01611846
PERRY,2004,0.010160317
JASPER,2004,0.001006256
EDGAR,2004,-0.000854264
COLES,2004,-0.002678578
GALLATIN,2004,0.01219291
DOUGLAS,2004,-0.000698228
RANDOLPH,2004,0.015604268
CHRISTIAN,2004,-0.008041381
WILL,2004,0.01458065
MACOUPIN,2004,-0.006413046
JEFFERSON,2004,0.010530041
POPE,2004,0.018416303
STARK,2004,0.008680345
SCHUYLER,2004,0.014252197
STEPHENSON,2004,0.025817263
LOGAN,2004,0.0003802
LEE,2004,0.022949893
FAYETTE,2004,0.007843973
LA SALLE,2004,0.014046372
PEORIA,2004,0.015015932
RICHLAND,2004,0.007799267
WILLIAMSON,2004,0.015927415
IROQUOIS,2004,0.014100218
KANE,2004,0.026567031
SHELBY,2004,-0.001544942
MONROE,2004,0.014115757
CARROLL,2004,0.024569522
CLAY,2004,0.002671754
MASSAC,2004,0.015275318
JOHNSON,2004,0.018250598
BROWN,2004,0.016494015
KANKAKEE,2004,0.015179041
SANGAMON,2004,-0.005401208
BOONE,2004,0.028052908
MORGAN,2004,-0.004646373
EDWARDS,2004,0.007641483
WABASH,2004,0.014873704
WAYNE,2004,0.007290781
FULTON,2004,0.009703508
WASHINGTON,2004,0.008979628
MOULTRIE,2004,-0.009167844
TAZEWELL,2004,0.010321438
WARREN,2004,0.008118039
PULASKI,2004,0.013582583
MADISON,2004,0.005907833
MONTGOMERY,2004,-0.007277685
MENARD,2004,-0.002872215
HANCOCK,2004,0.018402934
MCLEAN,2004,0.01133027
UNION,2005,0.024759181
MCDONOUGH,2005,0.003821468
WINNEBAGO,2005,0.021966872
MARSHALL,2005,0.004092923
JERSEY,2005,0.003069248
BUREAU,2005,0.011840606
PUTNAM,2005,0.014745035
MASON,2005,0.005425939
OGLE,2005,0.026713004
DU PAGE,2005,0.011339128
LAKE,2005,0.005483787
CASS,2005,0.0028333
LAWRENCE,2005,0.000797861
CHAMPAIGN,2005,0.002415928
FORD,2005,0.00107857
SCOTT,2005,-0.002835181
ALEXANDER,2005,0.018135047
CLARK,2005,0.004459428
ROCK ISLAND,2005,0.023764639
HARDIN,2005,0.016145588
CALHOUN,2005,0.019304594
JACKSON,2005,0.01360104
BOND,2005,-0.002566238
