County,Year,GPP
SCOTT,2012,481.1489073
SCOTT,2013,501.4033078
SCOTT,2014,458.3062435
SCOTT,2015,446.796125
SCOTT,2016,462.6573
SCOTT,2017,493.2067953
SCOTT,2018,373.8718406
SCOTT,2019,471.4213903
SCOTT,2020,491.6900839
ALEXANDER,2000,555.30024
ALEXANDER,2001,553.4712252
ALEXANDER,2002,700.9561515
ALEXANDER,2003,674.3064502
ALEXANDER,2004,555.4166331
ALEXANDER,2005,748.9634073
ALEXANDER,2006,596.1699472
ALEXANDER,2007,558.2458149
ALEXANDER,2008,581.8924554
ALEXANDER,2009,712.5828058
ALEXANDER,2010,651.1678181
ALEXANDER,2011,688.9602291
ALEXANDER,2012,649.9381821
ALEXANDER,2013,745.0809316
ALEXANDER,2014,607.3540863
ALEXANDER,2015,773.9614689
ALEXANDER,2016,752.5220639
ALEXANDER,2017,715.0441833
ALEXANDER,2018,512.96008
ALEXANDER,2019,727.1422399
ALEXANDER,2020,773.4157287
CLARK,2000,431.2670712
CLARK,2001,383.7178004
CLARK,2002,465.6612004
CLARK,2003,417.3480902
CLARK,2004,401.1264125
CLARK,2005,498.0897431
CLARK,2006,383.2929158
CLARK,2007,403.7144908
CLARK,2008,515.6727534
CLARK,2009,475.4386647
CLARK,2010,417.4795222
CLARK,2011,505.3595948
CLARK,2012,515.7235362
CLARK,2013,564.5589413
CLARK,2014,402.8819718
CLARK,2015,497.9494829
CLARK,2016,500.7691084
CLARK,2017,505.2347814
CLARK,2018,377.7637776
CLARK,2019,528.3526562
CLARK,2020,477.6596112
ROCK ISLAND,2000,374.5835522
ROCK ISLAND,2001,401.6490474
ROCK ISLAND,2002,364.060842
ROCK ISLAND,2003,304.5571265
ROCK ISLAND,2004,421.8239699
ROCK ISLAND,2005,426.6249375
ROCK ISLAND,2006,344.5515974
ROCK ISLAND,2007,335.2468727
ROCK ISLAND,2008,291.6398897
ROCK ISLAND,2009,289.5579056
ROCK ISLAND,2010,441.5385077
ROCK ISLAND,2011,337.9615623
ROCK ISLAND,2012,454.6180519
ROCK ISLAND,2013,292.9070322
ROCK ISLAND,2014,365.7618906
ROCK ISLAND,2015,495.8882641
ROCK ISLAND,2016,475.6064729
ROCK ISLAND,2017,517.1313511
ROCK ISLAND,2018,277.9554707
ROCK ISLAND,2019,477.8230135
ROCK ISLAND,2020,457.6742851
HARDIN,2000,651.2870376
HARDIN,2001,627.398263
HARDIN,2002,685.8754034
HARDIN,2003,706.2474988
HARDIN,2004,553.4499711
HARDIN,2005,869.9734443
HARDIN,2006,656.7483678
HARDIN,2007,577.3028386
HARDIN,2008,747.5672437
HARDIN,2009,702.0093048
HARDIN,2010,598.600784
HARDIN,2011,706.7650062
HARDIN,2012,453.4779933
HARDIN,2013,680.6689437
HARDIN,2014,626.7733006
HARDIN,2015,775.4130224
HARDIN,2016,761.1428767
HARDIN,2017,714.5305946
HARDIN,2018,526.544776
HARDIN,2019,733.5088753
HARDIN,2020,758.8030563
CALHOUN,2000,495.0309622
CALHOUN,2001,480.7862168
CALHOUN,2002,598.9919448
CALHOUN,2003,577.2662728
CALHOUN,2004,524.088115
CALHOUN,2005,646.1726279
CALHOUN,2006,430.59797
CALHOUN,2007,484.6147295
CALHOUN,2008,546.5447531
CALHOUN,2009,541.3055649
CALHOUN,2010,594.6205778
CALHOUN,2011,552.1087971
CALHOUN,2012,379.6196144
CALHOUN,2013,510.6385681
CALHOUN,2014,602.0927676
CALHOUN,2015,695.6108656
CALHOUN,2016,678.0053807
CALHOUN,2017,666.3389891
CALHOUN,2018,495.4958073
CALHOUN,2019,661.1686131
CALHOUN,2020,655.1514602
JACKSON,2000,546.5533831
JACKSON,2001,515.0015018
JACKSON,2002,624.7905177
JACKSON,2003,606.2455257
JACKSON,2004,522.7132103
JACKSON,2005,696.1590816
JACKSON,2006,532.5584808
JACKSON,2007,509.3308046
JACKSON,2008,570.4259571
JACKSON,2009,607.2800116
JACKSON,2010,597.0919459
JACKSON,2011,639.4538629
JACKSON,2012,549.7690986
JACKSON,2013,660.3042886
JACKSON,2014,544.3405306
JACKSON,2015,687.7443987
JACKSON,2016,725.9937798
JACKSON,2017,652.9130864
JACKSON,2018,493.815964
JACKSON,2019,687.0755742
JACKSON,2020,695.406958
BOND,2000,519.7577517
BOND,2001,411.2348289
BOND,2002,533.3116686
BOND,2003,496.6078345
BOND,2004,461.8242472
BOND,2005,572.4885584
BOND,2006,415.7357014
BOND,2007,426.7236579
BOND,2008,578.1622725
BOND,2009,499.8007413
BOND,2010,473.2618224
BOND,2011,539.7402246
BOND,2012,492.3964007
BOND,2013,583.9809375
BOND,2014,480.9970386
BOND,2015,563.3923281
BOND,2016,624.5286406
BOND,2017,541.1212939
BOND,2018,429.868892
BOND,2019,634.0385848
BOND,2020,526.3027066
CRAWFORD,2000,474.0141402
CRAWFORD,2001,424.4545906
CRAWFORD,2002,457.6390105
CRAWFORD,2003,498.3237691
CRAWFORD,2004,442.2436903
CRAWFORD,2005,517.9071911
CRAWFORD,2006,426.4121327
CRAWFORD,2007,428.9220924
CRAWFORD,2008,618.9499439
CRAWFORD,2009,542.4771453
CRAWFORD,2010,474.1277473
CRAWFORD,2011,534.9868225
CRAWFORD,2012,568.8220442
CRAWFORD,2013,580.3846589
CRAWFORD,2014,463.1296821
CRAWFORD,2015,522.8955265
CRAWFORD,2016,567.3455513
CRAWFORD,2017,488.8085699
CRAWFORD,2018,390.498157
CRAWFORD,2019,644.1118045
CRAWFORD,2020,515.384612
FRANKLIN,2000,541.1817692
FRANKLIN,2001,447.4436514
FRANKLIN,2002,510.5220619
FRANKLIN,2003,593.5246615
FRANKLIN,2004,509.9713413
FRANKLIN,2005,671.5294463
FRANKLIN,2006,490.5490779
FRANKLIN,2007,474.3240412
FRANKLIN,2008,628.4897914
FRANKLIN,2009,541.555149
FRANKLIN,2010,574.215132
FRANKLIN,2011,610.0539221
FRANKLIN,2012,555.7703638
FRANKLIN,2013,608.649286
FRANKLIN,2014,537.2383263
FRANKLIN,2015,616.8928262
FRANKLIN,2016,714.0466544
FRANKLIN,2017,638.498255
FRANKLIN,2018,489.5486416
FRANKLIN,2019,635.1296999
FRANKLIN,2020,634.6019275
PIATT,2000,220.2676693
PIATT,2001,218.4913716
PIATT,2002,335.3690767
PIATT,2003,244.3272192
PIATT,2004,232.0628932
PIATT,2005,310.1787935
PIATT,2006,233.9493544
PIATT,2007,256.0109668
PIATT,2008,284.7524403
PIATT,2009,244.2906125
PIATT,2010,269.007607
PIATT,2011,317.8613615
PIATT,2012,333.187689
PIATT,2013,332.33975
PIATT,2014,301.0458683
PIATT,2015,316.009947
PIATT,2016,357.2572864
PIATT,2017,459.1141096
PIATT,2018,283.7536313
PIATT,2019,407.7381481
PIATT,2020,347.914303
ST CLAIR,2000,590.5205047
ST CLAIR,2001,416.3302715
ST CLAIR,2002,526.7641574
ST CLAIR,2003,595.7908961
ST CLAIR,2004,509.9433992
ST CLAIR,2005,559.1803776
ST CLAIR,2006,512.679182
ST CLAIR,2007,512.0284405
ST CLAIR,2008,659.8668342
ST CLAIR,2009,584.8953834
ST CLAIR,2010,511.9647406
ST CLAIR,2011,583.0190139
ST CLAIR,2012,558.4189777
ST CLAIR,2013,617.677508
ST CLAIR,2014,516.8082779
ST CLAIR,2015,613.5444467
ST CLAIR,2016,650.5101222
ST CLAIR,2017,654.8669367
ST CLAIR,2018,501.5801332
ST CLAIR,2019,676.6010988
ST CLAIR,2020,608.8772822
HAMILTON,2000,484.2469201
HAMILTON,2001,427.0066685
HAMILTON,2002,438.6199761
HAMILTON,2003,549.2252961
HAMILTON,2004,461.8861255
HAMILTON,2005,616.1799778
HAMILTON,2006,441.7909102
HAMILTON,2007,447.9399912
HAMILTON,2008,622.340632
HAMILTON,2009,519.5020863
HAMILTON,2010,524.9961459
HAMILTON,2011,572.8277156
HAMILTON,2012,589.5748606
HAMILTON,2013,576.6970959
HAMILTON,2014,515.2119249
HAMILTON,2015,571.4824318
HAMILTON,2016,682.8460007
HAMILTON,2017,598.0858155
HAMILTON,2018,437.671482
HAMILTON,2019,638.4041469
HAMILTON,2020,569.6790865
CUMBERLAND,2000,428.3680968
CUMBERLAND,2001,326.9561824
CUMBERLAND,2002,435.088991
CUMBERLAND,2003,379.9535809
CUMBERLAND,2004,366.8814293
CUMBERLAND,2005,470.4018452
CUMBERLAND,2006,340.3978082
CUMBERLAND,2007,376.4619792
CUMBERLAND,2008,462.8884989
CUMBERLAND,2009,466.255905
CUMBERLAND,2010,415.3115538
CUMBERLAND,2011,496.4046822
