County,Year,SSM_0,SSM_10,SSM_40,SSM_100
OGLE,2013,0.312756413,0.32570253,0.159546002,0.340686118
OGLE,2014,0.307325727,0.314703883,0.168780265,0.339759969
OGLE,2015,0.301538942,0.310384156,0.183709618,0.337658533
OGLE,2016,0.314156483,0.332855707,0.280722822,0.350473897
OGLE,2017,0.306398416,0.317158826,0.264685936,0.363636054
OGLE,2018,0.316027721,0.329868399,0.255458373,0.359100156
OGLE,2019,0.353062193,0.384968279,0.356756138,0.374690773
OGLE,2020,0.312644472,0.341784752,0.312029557,0.38147341
DUPAGE,2000,0.377605398,0.38499261,0.371450155,0.428861581
DUPAGE,2001,0.383988774,0.389726316,0.373850692,0.428844693
DUPAGE,2002,0.379445378,0.383136908,0.378653577,0.429629599
DUPAGE,2003,0.37650986,0.381270502,0.369831053,0.429252536
DUPAGE,2004,0.376460451,0.386801296,0.372042321,0.429531553
DUPAGE,2005,0.376942844,0.374930469,0.375183107,0.428142097
DUPAGE,2006,0.384242768,0.388783854,0.377215432,0.42885882
DUPAGE,2007,0.385866279,0.380910408,0.375967096,0.428432434
DUPAGE,2008,0.38741454,0.392061063,0.382816944,0.427411038
DUPAGE,2009,0.389908143,0.395448894,0.395882582,0.43089687
DUPAGE,2010,0.389226607,0.396029916,0.387325337,0.428933049
DUPAGE,2011,0.388298809,0.39322671,0.377662272,0.428412203
DUPAGE,2012,0.379792058,0.381597489,0.37027726,0.42775321
DUPAGE,2013,0.389448708,0.392154818,0.373552144,0.429537185
DUPAGE,2014,0.387264045,0.390947308,0.374217381,0.429707296
DUPAGE,2015,0.38843326,0.387803343,0.376999638,0.42733686
DUPAGE,2016,0.387241738,0.391543284,0.38349999,0.43377389
DUPAGE,2017,0.386364268,0.391637365,0.388176324,0.434485726
DUPAGE,2018,0.383004659,0.389636994,0.379565187,0.433030581
DUPAGE,2019,0.391009188,0.398682469,0.388137443,0.433678386
DUPAGE,2020,0.382418426,0.391209152,0.377981674,0.436674441
LAKE,2000,0.320388677,0.333822588,0.258373204,0.373809808
LAKE,2001,0.331748341,0.339262943,0.27161606,0.372933883
LAKE,2002,0.320003006,0.33846391,0.302671706,0.371869388
LAKE,2003,0.303436783,0.334479452,0.234650605,0.371498721
LAKE,2004,0.322940691,0.352503126,0.266497405,0.372963016
LAKE,2005,0.312275719,0.31325201,0.246757414,0.371825252
LAKE,2006,0.333832101,0.337419011,0.256361485,0.371320412
LAKE,2007,0.323704631,0.328807781,0.287189676,0.369475853
LAKE,2008,0.341085677,0.344943677,0.278867174,0.367687003
LAKE,2009,0.34550746,0.367106351,0.315363002,0.370970811
LAKE,2010,0.342351944,0.336000626,0.311277163,0.370029088
LAKE,2011,0.347535156,0.355405322,0.274835203,0.367459153
LAKE,2012,0.316535556,0.320972184,0.247734836,0.364557455
LAKE,2013,0.350992664,0.350572092,0.251436917,0.370909944
LAKE,2014,0.33653151,0.350472694,0.259467144,0.370531506
LAKE,2015,0.326716325,0.339566508,0.265751459,0.369280905
LAKE,2016,0.331416216,0.343116334,0.305616068,0.388095644
LAKE,2017,0.342058821,0.358080385,0.312893897,0.387415944
LAKE,2018,0.344373764,0.363714595,0.323790169,0.385429117
LAKE,2019,0.36722605,0.385759196,0.38177402,0.393017454
LAKE,2020,0.342179805,0.358749191,0.341158897,0.410575786
CASS,2000,0.259336857,0.267560564,0.164422175,0.33358036
CASS,2001,0.295547742,0.294375802,0.185891191,0.329631368
CASS,2002,0.280682244,0.310008462,0.221799367,0.349772379
CASS,2003,0.289828208,0.295146267,0.168159432,0.3492576
CASS,2004,0.276977308,0.306581198,0.242303684,0.343937331
CASS,2005,0.281018071,0.296899274,0.187196852,0.361947068
CASS,2006,0.275339138,0.289396066,0.196168691,0.356360238
CASS,2007,0.263936506,0.261760678,0.181661115,0.345940973
CASS,2008,0.318410151,0.328749806,0.259964755,0.342807081
CASS,2009,0.33895191,0.362743548,0.290117058,0.350885899
CASS,2010,0.339621527,0.356773267,0.352338866,0.391006526
CASS,2011,0.328894922,0.337361458,0.233815704,0.357783771
CASS,2012,0.275048949,0.294965964,0.225970117,0.351008263
CASS,2013,0.309896895,0.330876671,0.236291486,0.371232242
CASS,2014,0.296014067,0.305503702,0.205626307,0.370381856
CASS,2015,0.301809594,0.319035181,0.266035244,0.364310183
CASS,2016,0.29388289,0.281727339,0.219742449,0.354096296
CASS,2017,0.257864052,0.275582882,0.169131261,0.34650687
CASS,2018,0.297963226,0.295383141,0.207238763,0.339517301
CASS,2019,0.326475678,0.34568742,0.305941005,0.36817625
CASS,2020,0.295178688,0.303492901,0.261982934,0.372265467
LAWRENCE,2000,0.300180795,0.302537773,0.233620021,0.347788627
LAWRENCE,2001,0.280608067,0.288811125,0.244226798,0.338937036
LAWRENCE,2002,0.310887737,0.338751885,0.312937807,0.383451703
LAWRENCE,2003,0.318359972,0.334013637,0.29885726,0.374551964
LAWRENCE,2004,0.310096469,0.328413302,0.301037287,0.350696686
LAWRENCE,2005,0.305898864,0.321110064,0.246505538,0.368931813
LAWRENCE,2006,0.328769806,0.339158302,0.291098746,0.363018354
LAWRENCE,2007,0.30267374,0.31489787,0.251002214,0.378428122
LAWRENCE,2008,0.341212146,0.36085011,0.317285751,0.376718756
LAWRENCE,2009,0.343425012,0.365599032,0.32881973,0.372098884
LAWRENCE,2010,0.344520499,0.356747949,0.319464816,0.372337625
LAWRENCE,2011,0.356172761,0.365233237,0.296659893,0.377430918
LAWRENCE,2012,0.3003048,0.30810926,0.234459859,0.363093688
LAWRENCE,2013,0.36157047,0.372318336,0.344647322,0.383872187
LAWRENCE,2014,0.317105978,0.35186521,0.336934453,0.376475897
